target_table,source_table_or_cte,relation_type,sql_file,key_fields,filter_condition,remark
ods_mes_mm_task_group_output,hmes_prd.mm_task_group_output,insert_target,sql/source/ads_sc_xl_13/00_group_output_source_snapshot.sql,id|actual_id,r_modified_time >= $lastTime and r_modified_time < $currentTime,DataX增量同步
ods_mes_mm_task_prod_actual,hmes_prd.mm_task_prod_actual,insert_target,sql/source/ads_sc_xl_13/07_prod_actual_source_snapshot.sql,actual_id,r_modified_time >= $lastTime and r_modified_time < $currentTime,DataX增量同步
ods_mes_wms_wh_enter,hmes_prd.wms_wh_enter,insert_target,sql/source/ads_sc_xl_13/08_enter_item_source_snapshot.sql,enter_id,r_modified_time >= $lastTime and r_modified_time < $currentTime,DataX增量同步
ods_mes_wms_wh_enter_item,hmes_prd.wms_wh_enter_item,insert_target,sql/source/ads_sc_xl_13/08_enter_item_source_snapshot.sql,enter_item_id,r_modified_time >= $lastTime and r_modified_time < $currentTime,DataX增量同步
ods_mes_wms_batch_info,hmes_prd.wms_batch_info,insert_target,sql/source/ads_sc_xl_13/08_enter_item_source_snapshot.sql,batch_id,r_modified_time >= $lastTime and r_modified_time < $currentTime,DataX增量同步
dwd_mes_mm_task_group_output,ods_mes_mm_task_group_output,from_source,sql/source/ads_sc_xl_13/00_group_output_source_snapshot.sql,id|actual_id,status = 1 and end_time is not null,Dolphin主上游
dwd_mes_mm_task_group_output,ods_mes_mm_task_prod_actual,join_source,sql/source/ads_sc_xl_13/00_group_output_source_snapshot.sql,actual_id,增量水位 + 状态过滤,关联生产实绩
dwd_mes_mm_task_group_output,with_attr_value,dictionary_mapping,sql/source/ads_sc_xl_13/00_group_output_source_snapshot.sql,tenant_id|machine_code,scene like BI-SC-KC-013-DEFINED-*,产线/板型映射
dwd_mes_mm_task_group_output,dwd_silicon_steel_surface_info,join_source,sql/source/ads_sc_xl_13/10_surface_info_source_snapshot.sql,surface,tenant_id = 92 branch,硅钢表面属性增强
dwd_task_prod_actual,ods_mes_mm_task_prod_actual,from_source,sql/source/ads_sc_xl_13/07_prod_actual_source_snapshot.sql,actual_id,checkpoint + queue 增量,生产实绩主任务
dwd_task_prod_actual,ods_mes_wms_batch_info,join_source,sql/source/ads_sc_xl_13/07_prod_actual_source_snapshot.sql,batch_code|tenant_id,status = 1,批次信息增强
dwd_mes_wms_wh_enter_item,ods_mes_wms_wh_enter_item,from_source,sql/source/ads_sc_xl_13/08_enter_item_source_snapshot.sql,enter_item_id,checkpoint + queue 增量,入库单主任务
dwd_mes_wms_wh_enter_item,ods_mes_wms_wh_enter,join_source,sql/source/ads_sc_xl_13/08_enter_item_source_snapshot.sql,enter_id,状态过滤,入库单头表
dwd_mes_wms_wh_enter_item,ods_mes_wms_batch_info,join_source,sql/source/ads_sc_xl_13/08_enter_item_source_snapshot.sql,batch_code|tenant_id,status = 1,批次增强
dwd_mes_wms_wh_enter_item,dim_ums_tenant,join_source,sql/source/ads_sc_xl_13/08_enter_item_source_snapshot.sql,tenant_id,status = 1,tenant维读取
ads_sc_xl_01,dwd_mes_wms_wh_enter_item,from_source,sql/source/ads_sc_xl_13/09_ads_sc_xl_01_source_snapshot.sql,tenant_id|batch_code,INTERVAL 35 DAY,入库量支撑表
ads_sc_xl_13_process1,dwd_mes_mm_task_group_output,aggregation,sql/source/ads_sc_xl_13/01_process1_source_snapshot.sql,tenant_id|plate_type|manuf_line_name|attr1|data_date,is_ignore = 0 and batch_code <> '' and recent 35 day,主链首层聚合
ads_sc_xl_13_defined,ads_sc_xl_13_process1,from_source,sql/source/ads_sc_xl_13/02_defined_source_snapshot.sql,tenant_id|plate_type|surface|attr1|data_date,INTERVAL 35 DAY,主链补齐层
ads_sc_xl_13_defined,dim_date_info,date_skeleton,sql/source/ads_sc_xl_13/02_defined_source_snapshot.sql,date_id,date range current_date - 35 day,补零骨架
ads_sc_xl_13_defined_manuf_line_name,ads_sc_xl_13_defined,aggregation,sql/source/ads_sc_xl_13/03_defined_manuf_line_name_source_snapshot.sql,tenant_id|plate_type|manuf_line_name|attr1|data_date,manuf_line_name <> '',主链日聚合
ads_sc_xl_13_defined_manuf_line_name_combined,ads_sc_xl_13_defined_manuf_line_name,projection,sql/source/ads_sc_xl_13/04_combined_source_snapshot.sql,tenant_id|plate_type|manuf_line_name|attr1|data_date,INTERVAL 35 DAY,主链宽表壳层
ads_sc_xl_13_defined_manuf_line_name_combined,with_attr_value,dictionary_mapping,sql/source/ads_sc_xl_13/04_combined_source_snapshot.sql,tenant_id|manuf_line_name,scene in BI-SC-KC-013-DEFINED-PLATE-*,排序和板型映射
ads_sc_xl_13_defined_manuf_line_name_combined,with_result_confirm,manual_confirm,sql/source/ads_sc_xl_13/04_combined_source_snapshot.sql,tenant_id|manuf_line_name|data_date,report_id in 237/239/543,停机时间/备注覆盖
ads_sc_xl_13_defined_manuf_line_name_combined,ads_sc_xl_01,join_source,sql/source/ads_sc_xl_13/09_ads_sc_xl_01_source_snapshot.sql,tenant_id|manuf_line_name|attr1|data_date,INTERVAL 30 DAY,生产入库量/成品入库量支线
ads_sc_xl_13_defined_manuf_line_name_combined,ads_sc_xl_13_defined_manuf_line_name_combined_process1,aggregation,sql/source/ads_sc_xl_13/04_combined_source_snapshot.sql,tenant_id|plate_type|manuf_line_name|attr1|month,window month cumulative,月累计回刷
ads_sc_xl_13_defined_manuf_line_name_combined,ads_sc_xl_13_defined_manuf_line_name_avg_thickness_data,join_source,sql/source/ads_sc_xl_13/04_combined_source_snapshot.sql,tenant_id|plate_type|manuf_line_name|attr1|data_date,INTERVAL 30 DAY,平均厚度更新
ads_sc_xl_13_defined_manuf_line_name_combined,ads_sc_xl_13_defined_manuf_line_name_finished_output_tons_lz,join_source,sql/source/ads_sc_xl_13/04_combined_source_snapshot.sql,tenant_id|manuf_line_name|attr1|data_date,INTERVAL 30 DAY,生产入库量更新
ads_sc_xl_13_defined_manuf_line_name_combined,ads_sc_xl_13_defined_manuf_line_name_finished_product_lz,join_source,sql/source/ads_sc_xl_13/04_combined_source_snapshot.sql,tenant_id|manuf_line_name|attr1|data_date,INTERVAL 30 DAY,成品入库量更新
ads_sc_xl_13_defined_manuf_line_name_combined,attr1='合计',union_branch,sql/source/ads_sc_xl_13/04_combined_source_snapshot.sql,tenant_id|plate_type|manuf_line_name|data_date,INTERVAL 35 DAY,后置合计行
ads_sc_xl_13_defined_manuf_line_name_combined,manuf_line_name='总计',union_branch,sql/source/ads_sc_xl_13/04_combined_source_snapshot.sql,tenant_id|plate_type|data_date,,后置总计行
ads_sc_xl_13_defined_manuf_line_name_combined_001,ads_sc_xl_13_defined_manuf_line_name_combined,projection,sql/source/ads_sc_xl_13/05_combined_001_source_snapshot.sql,tenant_id|plate_type|manuf_line_name|attr1|data_date,period day/month branches,终端兄弟表
ads_sc_xl_13_defined_manuf_line_name_combined_002,ads_sc_xl_13_defined_manuf_line_name_combined,projection,sql/source/ads_sc_xl_13/06_combined_002_source_snapshot.sql,tenant_id|plate_type|manuf_line_name|attr1|data_date,,最终终端表
ods_mes_mdm_tenant,UNKNOWN_tenant_transform,unknown,lineage/ads_sc_xl_13/05_missing_links.md,tenant_id,,当前环境未显式暴露生产链
dim_ums_tenant,UNKNOWN_tenant_transform,unknown,lineage/ads_sc_xl_13/05_missing_links.md,tenant_id,,当前环境未显式暴露生产链
